ar,country_ar,en,country_en
 أرنافوت كوي, تركيا,Arnavutköy,Turkey
 أرنهيم, هولندا, Arnhem,Netherlands
 أروبا, هولندا, Aruba,Netherlands
 أروبو, تشاد, Orobo,Chad
 أروما, السودان, Aroma,Sudan
 أرومية, ايران, Urmia,Iran 
 أروناجل برديش, الهند, Arunachal Pradesh,India
 أريئيل, فلسطين, Ariel, Palestinian
 أريا, أسبانيا,Haría,Spain
 أريانة, تونس, Ariana,Tunisia
 أريثيفي, أسبانيا,Arrecife,Spain
 أريحا, سوريا, Arihah,Syrian Arab Republic
 أريحا, فلسطين, Jericho, Palestinian
 أريدا، واكاياما, اليابان, Arida,Japan
 أريس, الجزائر, Arris,Algeria
 أريغي, النيجر,Arrigui,Niger
 أزرق الشيشان, الأردن, Azraq Al Shishan,Jordan
 أزرو, المغرب, Azrou,Morocco
 أزغنغان, المغرب, Zeghanghane,Morocco
 أزفون, الجزائر, Azeffoun,Algeria
 أزمور, المغرب, Azemmour,Morocco
 أزومينو، ناغانو, اليابان, Azumino,Japan
 أزيلال, المغرب, Azilal,Morocco
 أساكوتشي، أوكاياما, اليابان, Asakuchi,Japan
 أساكي، سايتاما, اليابان, Asaka,Japan
 أساهيكاوا، هوكايدو, اليابان, Asahikawa,Japan
 أستراخان, روسيا, Astrakhan,Russian Federation
 أستراليا, أستراليا, Australia,Australia
 أستراليا الغربية, أستراليا, Western Australia,Australia
 أستور, باكستان, Astore,Pakistan
 أستي, ايطاليا,Asti,Italy
 أسطبونة, أسبانيا, Estepona,Spain
 أسكليب, تركيا, Iskilip,Turkey
 أسكو, ايران, Osku,Iran 
 أسمرة, اريتريا, Asmara,Eritrea
 أسن, هولندا, Assen,Netherlands
 أسنابروك, ألمانيا,Osnabrück,Germany
 أسني, المغرب, Asni,Morocco
 أسو، كوماموتو, اليابان, Aso,Japan
 أسوان, مصر, Aswan,Egypt
 أسول, المغرب, Assoul,Morocco
 أسونسيون, باراجواي, Asuncion,Paraguay
 أسيزي, ايطاليا,Assisi,Italy
 أسيوط, مصر, Asyut,Egypt
 أسيوط الجديدة, مصر, New Asyut,Egypt
 أسيوط الجديدة, مصر,New Asyut,Egypt
 أشافنبورغ, ألمانيا,Aschaffenburg,Germany
 أشبونة, البرتغال, Lisbon,Portugal
 أشرفية صحنايا, سوريا, Ashrafiyat Sahnaya,Syrian Arab Republic
 أشلبور, الهند,Achalpur,India
 أشمون, مصر, Ashmoun,Egypt
 أشونة, أسبانيا,Osuna,Spain
 أشيبيتسو، هوكايدو, اليابان, Ashibetsu,Japan
 أشيقر, السعودية, Ushayqir,Saudi Arabia
 أشيكاغا، توتشيغي, اليابان, Ashikaga,Japan
 أشينوما, النيجر,Achénouma,Niger
 أصفهان, ايران, Isfahan,Iran 
 أصيلة, المغرب, Asilah,Morocco
 أضم, السعودية, Adham,Saudi Arabia
 أضنة, تركيا, Adana,Turkey
 أطار, موريتانيا, Atar,Mauritania
 أطسا, مصر, Atsa,Egypt
 أعالي النيل, جنوب السودان, Upper Nile State,South Sudan
 أعزاز, سوريا, A`zaz,Syrian Arab Republic
 أغابار, الصومال, Agabar,Somalia
 أغاديس, النيجر, Agadez,Niger
 أغانو، نييغاتا, اليابان, Agano,Japan
 أغبوفيل, ساحل العاج,Agboville,Cote d’Ivoire
 أغدي, فرنسا,Agde,France
 أغرة, الهند, Agra,India
 أغرتلا, الهند, Agartala,India
 أغري, تركيا, Ağrı,Turkey
 أغفا, تركيا,Ağva,Turkey
 أغلو, المغرب, Aglou,Morocco
 أغواسكالينتيس, المكسيك,Aguascalientes,Mexico
 أغوردات, اريتريا, Agordat,Eritrea
 أغوردات, اريتريا, Akordat,Eritrea
 أغونيت, الصحراء الغربية, Aghwinit,Western Sahara
 أغيو، سايتاما, اليابان, Ageo,Japan
 أفجوي, الصومال, Afgooye,Somalia
 أفجيلار, تركيا,Avcılar,Turkey
 أفدييفكا, أوكرانيا, Avdiivka,Ukraine
 أفرات, فلسطين, Efrat, Palestinian
 أفركات, المغرب, Aferkat,Morocco
 أفضلبور, الهند, Afzalpur,India
 أفعبت, اريتريا, Af'Abet,Eritrea
 أفغانستان, أفغانستان, Afghanistan,Afghanistan
 أفوناتو، إيواته, اليابان, Ofunato,Japan
 أفيبسكيي, روسيا, Afipskiy,Russian Federation
 أفينيون, فرنسا,Avignon,France
 أفيون قره حصار, تركيا, Afyonkarahisar,Turkey
 أقا, المغرب, Akka,Morocco
 أقبو, الجزائر, Akbou,Algeria
 أقجة قلعة, تركيا,Akçakale,Turkey
 أكابولكو, المكسيك,Acapulco,Mexico
 أكابيرا، هوكايدو, اليابان, Akabira,Japan
 أكاشي، هيوغو, اليابان, Akashi,Japan
 أكايوا، أوكاياما, اليابان, Akaiwa,Japan
 أكتيرسكيي, روسيا, Akhtyrskiy,Russian Federation
 أكجوجت, موريتانيا, Akjoujt,Mauritania
 أكدز, المغرب, Agdz,Morocco
 أكرا, غانا, Accra,Ghana
 أكساي, روسيا, Aksay,Russian Federation
 أكسفورد, المملكة المتحدة, Oxford,UK
 أكلكوت, الهند,Akkalkot,India
 أكليم, المغرب, Aklim,Morocco
 أكنول, المغرب, Aknoul,Morocco
 أكو، هيوغو, اليابان, Ako,Japan
 أكوئنيت, موريتانيا, Agouemit,Mauritania
 أكوا, فرنسا,Acoua,France
 أكوبو, جنوب السودان, Akobo,South Sudan
 أكوراي, المغرب, Agourai,Morocco
 أكوري, نيجيريا, Akure,Nigeria
 أكوك, جنوب السودان, Agok,South Sudan
 أكوكان, النيجر,Akokan,Niger
 أكونيب, غينيا الاستوائية,Aconibe,Equatorial Guinea
 أكي، كوتشي, اليابان, Aki,Japan
 أكيباني, جزر القمر, Akibani,Comoros
 أكيتا، أكيتا, اليابان, Akita,Japan
 أكيتاكاتا، هيروشيما, اليابان, Akitakata,Japan
 أكيرونو، طوكيو, اليابان, Akiruno,Japan
 أكيشيما، طوكيو, اليابان, Akishima,Japan
 أكيي, النيجر,Aguié,Niger
 أگويم, المغرب, Agouim,Morocco
 أݣادير, المغرب, Agadir,Morocco
 ألاتاير, روسيا, Alatyr,Russian Federation
 ألادا, بنين, Allada,Benin
 ألاداغ, تركيا,Aladağ,Turkey
 ألاغير, روسيا, Alagir,Russian Federation
 ألاك, موريتانيا, Aleg,Mauritania
 ألباكركي, الولايات المتحدة, Albuquerque,United States of America
 ألبانيا, ألبانيا, Albania,Albania
 ألبرتا, كندا, Alberta,Canada
 ألبوريكينت, روسيا, Alburikent,Russian Federation
 ألتشيفسك, أوكرانيا, Alchevsk,Ukraine
 ألتنبورغ, ألمانيا,Altenburg,Germany
 ألخاراكي, أسبانيا,Aljaraque,Spain
 ألش, أسبانيا, Helike,Spain
 ألغيرو, ايطاليا, Alghero,Italy
 ألقوش, العراق, Alqosh,Iraq
 ألكمار, هولندا, Alkmaar,Netherlands
 ألكوبينداس, أسبانيا,Alcobendas,Spain
 ألماتي, كازاخستان, Almaty,Kazakhstan
 ألمانيا, ألمانيا, Germany,Germany
 ألمرية, أسبانيا, Almeria,Spain
 ألميتيفسك, روسيا, Almetyevsk,Russian Federation
 ألند, الهند,Alanda,India
 ألهامبرا, الولايات المتحدة,Alhambra,United States of America
 ألور, الهند, Alwar,India
 ألور ستار, ماليزيا,Alor Setar,Malaysia
 ألوفا, الهند,Aluva,India
 ألونسون, فرنسا,Alençon,France
 ألياستاي, منغوليا, Uliastai,Mongolia
 أليتس, ليتوانيا,Alytus,Lithuania
 أليكانتي, أسبانيا, Alicante,Spain
 أليكساندريا, رومانيا, Alexandria,Romania
 أليكسين, روسيا, Aleksin,Russian Federation
 أم البواقي, الجزائر, Oum El Bouaghi,Algeria
 أم الدوم, السعودية, Umm al Dawm,Saudi Arabia
 أم الذروع, الجزائر, Oum Drou,Algeria
 أم الرزم, ليبيا, Umm ar Rizam,Libya
 أم الساهك, السعودية, Umm as Sahik,Saudi Arabia
 أم الطوب, الجزائر, Oum Toub,Algeria
 أم العرائس, تونس, Moularès,Tunisia
 أم العسل, الجزائر, Oum El Assel,Algeria
 أم العظام, الجزائر, Oum Laadham,Algeria
 أم القيوين, الامارات العربية المتحدة, Umm Al Quwain,United Arab Emirates
 أم الهيمان, الكويت, Ali Subah Al Salem,Kuwait
 أم بادر, السودان, Umm Badr,Sudan
 أم تيمان, تشاد, Am Timan,Chad
 أم جرس, تشاد, Am-Djarass,Chad
 أم جمينا, تشاد, Am Djemena,Chad
 أم حجار, السودان, Umm Higar,Sudan
 أم دام, تشاد, Am Dam,Chad
 أم دخن, السودان, Um Dukhan,Sudan
 أم درمان, السودان, Omdurman,Sudan
 أمّ دم, السودان, Umm Dam,Sudan
 أمّ دنغأ, السودان, Umm Danga,Sudan
 أم روابة, السودان, Umm Ruwaba,Sudan
 أم زوير, تشاد,أم زوير Am Zoer,Chad
 أم ساعد, ليبيا, Umm Sa'ad,Libya
 أم شوكة, السودان, Umm Shawkah,Sudan
 أم صلال محمد, قطر, Umm Salal Muhammad,Qatar
 أم قصر, العراق, Umm Qasr,Iraq
 أم كدادة, السودان, Umm Kaddada,Sudan
 أم هاجر, اريتريا, Omhajer,Eritrea
 أم هاجر, تشاد, Umm Hajar,Chad
 أما, اليابان, Ama,Japan
 أماصيا, تركيا, Amasya,Turkey
 أماغاساكي، هيوغو, اليابان, Amagasaki,Japan
 أماكوسا، كوماموتو, اليابان, Amakusa,Japan
 أمالو, الجزائر, Amalou,Algeria
 أمامي، كاغوشيما, اليابان, Amami,Japan
 أمانة العاصمة, اليمن, Amanat al `Asimah,Yemen
 أمباجوغائي, الهند,Ambajogai,India
 أمبيكابور, الهند,Ambikapur,India
 أمرافاتي, الهند, Amravati,India
 أمرتسر, الهند, Amritsar,India
 أمرغا, الهند,Umarga,India
 أمريلي, الهند,Amreli,India
 أمزرو, المغرب, Amezrou,Morocco
 أمزميز, المغرب, Amizmiz,Morocco
 أمزير, ليبيا, Amzir,Libya
 أمستردام, هولندا, Amsterdam,Netherlands
 أمسكروض, المغرب, Amskroud,Morocco
 أمفروسيييفكا, أوكرانيا, Amvrosiivka,Ukraine
 أملج, السعودية, Umluj,Saudi Arabia
 أميان, فرنسا,Amiens,France
 أميثي, الهند,Amethi,India
 أميرطاغ, تركيا,Emirdağ,Turkey
 أميزور, الجزائر, Amizour,Algeria
 أميليا, ايطاليا,Amelia,Italy
 أميون, لبنان, Amioun,Lebanon
 أنار, ايران, Anar,Iran 
 أناكا، غونما, اليابان, Annaka,Japan
 أنان، توكوشيما, اليابان, Anan,Japan
 أنانتابور, الهند, Anantapur,India
 أناند, الهند,Anand,India
 أنانيف, أوكرانيا, Ananiv,Ukraine
 أنتاناناريفو, مدغشقر, Antananarivo,Madagascar
 أنتراتسيت, أوكرانيا, Antratsyt,Ukraine
 أنتسيرابي, مدغشقر, Toamasina,Madagascar
 أنتسيرابي, مدغشقر,Antsirabe,Madagascar
 أنتويرب, بلجيكا, Antwerp,Belgium
 أنتيغوا وبربودا, أنتيغوا وباربودا, Antigua and Barbuda,Antigua and Barbuda
 أنجرة, المغرب, Anjra,Morocco
 أنجو، آيتشي, اليابان, Anjo,Japan
 أنجويلا, أنجويلا, Anguilla,Anguilla
 أنجيه, فرنسا,Angers,France
 أندراب, أفغانستان, Andarab,Afghanistan
 أندرلخت, بلجيكا,Anderlecht,Belgium
 أندريا, ايطاليا,Andria,Italy
 أندورا, أندورا, Andorra,Andorra
 أندورا لا فيلا, أندورا, Andorra la Vella,Andorra
 أنسخديه, هولندا,Enschede,Netherlands
 أنسنكو, مالي,Ansongo,Mali
 أنطاكية, تركيا, Antakya,Turkey
 أنطاليا, تركيا, Antalya,Turkey
 أنطلياس, لبنان, Antelias,Lebanon
 أنغول, الهند,Angul,India
 أنغولا, أنجولا, Angola,Angola
 أنغوليم, فرنسا,Angoulême,France
 أنقرة, تركيا, Ankara,Turkey
 أنكوريج, الولايات المتحدة, Anchorage,United States of America
 أنكونا, ايطاليا, Ancona,Italy
 أنمبرة, نيجيريا, Anambra,Nigeria
 أنميتر, المغرب, Anmiter,Morocco
 أننتناغ, الهند, Anantnag,India
 أنورادابورا, سريلانكا,Anuradhapura,Sri Lanka
 أنياما, ساحل العاج,Anyama,Cote d’Ivoire
 أوا، توكوشيما, اليابان, Awa,Japan
 أواجي، هيوغو, اليابان, Awaji,Japan
 أوادي جديد, تشاد,أوادي جديد Ouadi Djedid,Chad
 أواري أساهي، آيتشي, اليابان, Owariasahi,Japan
 أواسا, اثيوبيا, Hawassa,Ethiopia
 أواسي، ميه, اليابان, Owase,Japan
 أواميشيراساتو, اليابان, Oamishirasato,Japan
 أواني, جزر القمر, Ouani,Comoros
 أوباري, ليبيا, Awbari,Libya
 أوباما، فوكوي, اليابان, Obama,Japan
 أوبان, فرنسا,Aubagne,France
 أوبانازاوا، ياماغاتا, اليابان, Obanazawa,Japan
 أوبرهوزن, ألمانيا,Oberhausen,Germany
 أوبلاست تشيليابنسك, روسيا, Chelyabinsk Oblast,Russian Federation
 أوبنينسك, روسيا, Obninsk,Russian Federation
 أوبو، آيتشي, اليابان, Obu,Japan
 أوبواسي, غانا, Obuasi,Ghana
 أوبورن, الولايات المتحدة,Auburn,United States of America
 أوبيهيرو، هوكايدو, اليابان, Obihiro,Japan
 أوتا، طوكيو, اليابان, Ota,Japan
 أوتارو، هوكايدو, اليابان, Otaru,Japan
 أوتاكي، هیروشیما, اليابان, Otake,Japan
 أوتاوا, كندا, Ottawa,Canada
 أوتاوارا، توتشيغي, اليابان, Ohtawara,Japan
 أوترخت, هولندا, Utrecht,Netherlands
 أوتسوكي، ياماناشي, اليابان, Otsuki,Japan
 أوتهل, باكستان, Uthal,Pakistan
 أوتي, الهند, Udhagamandalam,India
 أوتيبو, أسبانيا,Utebo,Spain
 أوجلة, ليبيا, Awjilah,Libya
 أوجيا، نييغاتا, اليابان, Ojiya,Japan
 أوختا, روسيا, Ukhta,Russian Federation
 أودا، شيمانه, اليابان, Oda,Japan
 أوداته، أكيتا, اليابان, Odate,Japan
 أوداوارا، كاناغاوا, اليابان, Odawara,Japan
 أودنسه, الدانمرك,Odense,Denmark
 أودوبي, الهند, Udupi,India
 أوديسا, أوكرانيا, Odesa,Ukraine
 أوديميرا, البرتغال,Odemira,Portugal
 أوديميش, تركيا,Ödemiş,Turkey
 أودينتسوفو, روسيا, Odintsovo,Russian Federation
 أوديني, ايطاليا,Udine,Italy
 أورال, كازاخستان, Oral,Kazakhstan
 أورانياستاد, هولندا, Oranjestad,Netherlands
 أوربا, تشاد, Ourba,Chad
 أوردو, تركيا,Yayladağı,Turkey
 أوردوس, الصين, Ordos,China
 أورشوفا, رومانيا, Orșova,Romania
 أورطاجا, تركيا, Ortaca,Turkey
 أورفة, تركيا, Şanlıurfa,Turkey
 أورلاندو, الولايات المتحدة, Orlando,United States of America
 أورلوفكا, قرغيزستان, Orlovka,Kyrgyzstan
 أورلي, فرنسا,Orly,France
 أورمارا, باكستان, Ormara,Pakistan
 أورنجستاد, هولندا, Oranjestad,Netherlands
 أورنسي, أسبانيا, Ourense,Spain
 أورنك آباد, الهند, Aurangabad,India
 أورنك آباد, الهند,Aurangabad,India
 أورنك آباد, الهند,Aurangabad,India
 أوروس-مارتان, روسيا, Urus-Martan,Russian Federation
 أوروسغي, السنغال, Ouro Sogui,Senegal
 أوروغواي, أورجواي, Uruguay,Uruguay
 أورومتشي, الصين, Ürümqi,China
 أوروميا, اثيوبيا, Oromia Region,Ethiopia
 أوري, نيجيريا, Owerri,Nigeria
 أوريخوفو-زويفو, روسيا, Orekhovo-Zuyevo,Russian Federation
 أوريخوفو-زويفو, روسيا,Орехово-Зуево,Russian Federation
 أورير, المغرب, Aourir,Morocco
 أوريك, البرتغال,Ourique,Portugal
 أورينبورغ, روسيا, Orenburg,Russian Federation
 أوريول, روسيا, Oryol,Russian Federation
 أوزايوري, روسيا, Ozyory,Russian Federation
 أوزبكستان, أوزبكستان, Uzbekistan,Uzbekistan
 أوزلوفايا, روسيا, Uzlovaya,Russian Federation
 أوزو, تشاد, Aouzou,Chad
 أوزيتسه, صربيا, Uzice,Serbia
 أوسا, الهند,Ausa,India
 أوساكا, اليابان, Osaka,Japan
 أوساكاساياما، أوساكا, اليابان, Osakasayama,Japan
 أوساكي، مياغي, اليابان, Osaki,Japan
 أوست-لابينسك, روسيا, Ust-Labinsk,Russian Federation
 أوستا, ايطاليا, Aosta,Italy
 أوسترافا, جمهورية التشيك,Ostrava,Czechia
 أوستروغوجسك, روسيا, Ostrogozhsk,Russian Federation
 أوستن, الولايات المتحدة, Austin,United States of America
 أوستي ناد لابم, جمهورية التشيك,Ústí nad Labem,Czechia
 أوستيوجنا, روسيا, Ustyuzhna,Russian Federation
 أوسرد, المغرب, Aousserd,Morocco
 أوسكودار, تركيا,Üsküdar,Turkey
 أوسلو, النرويج, Oslo,Norway
 أوسوغبو, نيجيريا, Osogbo,Nigeria
 أوسوكي، أويتا, اليابان, Usuki,Japan
